Date,Country,Cumulative number of case(s),Number of deaths
7/2/03,Indonesia,2,0
7/2/03,Italy,4,0
7/2/03,Kuwait,1,0
7/2/03,Malaysia,5,2
7/2/03,Mongolia,9,0
7/2/03,New Zealand,1,0
7/2/03,Philippines,14,2
7/2/03,Republic of Ireland,1,0
7/2/03,Republic of Korea,3,0
7/2/03,Romania,1,0
7/2/03,Russian Federation,1,0
7/2/03,Singapore,206,32
7/2/03,South Africa,1,1
7/2/03,Spain,1,0
7/2/03,Sweden,3,0
7/2/03,Switzerland,1,0
7/2/03,Thailand,9,2
7/2/03,United Kingdom,4,0
7/2/03,United States,73,0
7/2/03,Viet Nam,63,5
7/3/03,Brazil,1,0
7/3/03,Canada,251,38
7/3/03,China,5327,348
7/3/03,"Hong Kong SAR, China",1755,298
7/3/03,"Macao SAR, China",1,0
7/3/03,"Taiwan, China",674,84
7/3/03,Colombia,1,0
7/3/03,Finland,1,0
7/3/03,France,7,0
7/3/03,Germany,10,0
7/3/03,India,3,0
7/3/03,Indonesia,2,0
7/3/03,Italy,4,0
7/3/03,Kuwait,1,0
7/3/03,Malaysia,5,2
7/3/03,Mongolia,9,0
7/3/03,New Zealand,1,0
7/3/03,Philippines,14,2
7/3/03,Republic of Ireland,1,0
7/3/03,Republic of Korea,3,0
7/3/03,Romania,1,0
7/3/03,Russian Federation,1,0
7/3/03,Singapore,206,32
7/3/03,South Africa,1,1
7/3/03,Spain,1,0
7/3/03,Sweden,3,0
7/3/03,Switzerland,1,0
7/3/03,Thailand,9,2
7/3/03,United Kingdom,4,0
7/3/03,United States,73,0
7/3/03,Viet Nam,63,5
7/4/03,Brazil,1,0
7/4/03,Canada,251,38
7/4/03,China,5327,348
7/4/03,"Hong Kong SAR, China",1755,298
7/4/03,"Macao SAR, China",1,0
7/4/03,"Taiwan, China",674,84
7/4/03,Colombia,1,0
7/4/03,Finland,1,0
7/4/03,France,7,0
7/4/03,Germany,10,0
7/4/03,India,3,0
7/4/03,Indonesia,2,0
7/4/03,Italy,4,0
7/4/03,Kuwait,1,0
7/4/03,Malaysia,5,2
7/4/03,Mongolia,9,0
7/4/03,New Zealand,1,0
7/4/03,Philippines,14,2
7/4/03,Republic of Ireland,1,0
7/4/03,Republic of Korea,3,0
7/4/03,Romania,1,0
7/4/03,Russian Federation,1,0
7/4/03,Singapore,206,32
7/4/03,South Africa,1,1
7/4/03,Spain,1,0
7/4/03,Sweden,3,0
7/4/03,Switzerland,1,0
7/4/03,Thailand,9,2
7/4/03,United Kingdom,4,0
7/4/03,United States,73,0
7/4/03,Viet Nam,63,5
7/7/03,Brazil,1,0
7/7/03,Canada,251,38
7/7/03,China,5327,348
7/7/03,"Hong Kong SAR, China",1755,298
7/7/03,"Macao SAR, China",1,0
7/7/03,"Taiwan, China",674,84
7/7/03,Colombia,1,0
7/7/03,Finland,1,0
7/7/03,France,7,0
7/7/03,Germany,10,0
7/7/03,India,3,0
7/7/03,Indonesia,2,0
7/7/03,Italy,4,0
7/7/03,Kuwait,1,0
7/7/03,Malaysia,5,2
7/7/03,Mongolia,9,0
7/7/03,New Zealand,1,0
7/7/03,Philippines,14,2
7/7/03,Republic of Ireland,1,0
7/7/03,Republic of Korea,3,0
7/7/03,Romania,1,0
7/7/03,Russian Federation,1,0
7/7/03,Singapore,206,32
7/7/03,South Africa,1,1
7/7/03,Spain,1,0
7/7/03,Sweden,3,0
7/7/03,Switzerland,1,0
7/7/03,Thailand,9,2
7/7/03,United Kingdom,4,0
7/7/03,United States,73,0
7/7/03,Viet Nam,63,5
7/8/03,Brazil,1,0
7/8/03,Canada,250,38
7/8/03,China,5327,348
7/8/03,"Hong Kong SAR, China",1755,298
7/8/03,"Macao SAR, China",1,0
7/8/03,"Taiwan, China",671,84
7/8/03,Colombia,1,0
7/8/03,Finland,1,0
7/8/03,France,7,0
7/8/03,Germany,10,0
7/8/03,India,3,0
7/8/03,Indonesia,2,0
7/8/03,Italy,4,0
7/8/03,Kuwait,1,0
7/8/03,Malaysia,5,2
7/8/03,Mongolia,9,0
7/8/03,New Zealand,1,0
7/8/03,Philippines,14,2
7/8/03,Republic of Ireland,1,0
7/8/03,Republic of Korea,3,0
7/8/03,Romania,1,0
7/8/03,Russian Federation,1,0
7/8/03,Singapore,206,32
7/8/03,South Africa,1,1
7/8/03,Spain,1,0
7/8/03,Sweden,3,0
7/8/03,Switzerland,1,0
7/8/03,Thailand,9,2
7/8/03,United Kingdom,4,0
7/8/03,United States,74,0
7/8/03,Viet Nam,63,5
7/9/03,Brazil,1,0
7/9/03,Canada,249,38
7/9/03,China,5327,348
7/9/03,"Hong Kong SAR, China",1755,298
7/9/03,"Macao SAR, China",1,0
7/9/03,"Taiwan, China",671,84
7/9/03,Colombia,1,0
7/9/03,Finland,1,0
7/9/03,France,7,0
7/9/03,Germany,10,0
7/9/03,India,3,0
7/9/03,Indonesia,2,0
7/9/03,Italy,4,0
7/9/03,Kuwait,1,0
7/9/03,Malaysia,5,2
7/9/03,Mongolia,9,0
7/9/03,New Zealand,1,0
7/9/03,Philippines,14,2
7/9/03,Republic of Ireland,1,0
7/9/03,Republic of Korea,3,0
7/9/03,Romania,1,0
7/9/03,Russian Federation,1,0
7/9/03,Singapore,206,32
7/9/03,South Africa,1,1
7/9/03,Spain,1,0
7/9/03,Sweden,3,0
7/9/03,Switzerland,1,0
7/9/03,Thailand,9,2
7/9/03,United Kingdom,4,0
7/9/03,United States,75,0
7/9/03,Viet Nam,63,5
7/10/03,Brazil,1,0
7/10/03,Canada,250,38
7/10/03,China,5327,348
7/10/03,"Hong Kong SAR, China",1755,298
7/10/03,"Macao SAR, China",1,0
7/10/03,"Taiwan, China",671,84
7/10/03,Colombia,1,0
7/10/03,Finland,1,0
7/10/03,France,7,0
7/10/03,Germany,10,0
7/10/03,India,3,0
7/10/03,Indonesia,2,0
7/10/03,Italy,4,0
7/10/03,Kuwait,1,0
7/10/03,Malaysia,5,2
7/10/03,Mongolia,9,0
7/10/03,New Zealand,1,0
7/10/03,Philippines,14,2
7/10/03,Republic of Ireland,1,0
7/10/03,Republic of Korea,3,0
7/10/03,Romania,1,0
7/10/03,Russian Federation,1,0
7/10/03,Singapore,206,32
7/10/03,South Africa,1,1
7/10/03,Spain,1,0
7/10/03,Sweden,3,0
7/10/03,Switzerland,1,0
7/10/03,Thailand,9,2
7/10/03,United Kingdom,4,0
7/10/03,United States,75,0
7/10/03,Viet Nam,63,5
7/11/03,Brazil,1,0
7/11/03,Canada,250,38
7/11/03,China,5327,348
7/11/03,"Hong Kong SAR, China",1755,298
7/11/03,"Macao SAR, China",1,0
7/11/03,"Taiwan, China",671,84
7/11/03,Colombia,1,0
7/11/03,Finland,1,0
7/11/03,France,7,1
7/11/03,Germany,10,0
7/11/03,India,3,0
7/11/03,Indonesia,2,0
7/11/03,Italy,4,0
7/11/03,Kuwait,1,0
7/11/03,Malaysia,5,2
7/11/03,Mongolia,9,0
7/11/03,New Zealand,1,0
7/11/03,Philippines,14,2
7/11/03,Republic of Ireland,1,0
7/11/03,Republic of Korea,3,0
7/11/03,Romania,1,0
7/11/03,Russian Federation,1,0
7/11/03,Singapore,206,32
7/11/03,South Africa,1,1
7/11/03,Spain,1,0
7/11/03,Sweden,3,0
7/11/03,Switzerland,1,0
7/11/03,Thailand,9,2
7/11/03,United Kingdom,4,0
7/11/03,United States,75,0
7/11/03,Viet Nam,63,5
